src_ip,dst_ip,src_port,dst_port,proto,ts,count,fwd_count,bwd_count,ps_mean,ps_max,ps_min,ps_var,ps_fwd_mean,ps_fwd_max,ps_fwd_min,ps_fwd_var,ps_bwd_mean,ps_bwd_max,ps_bwd_min,ps_bwd_var,iat_mean,iat_max,iat_min,iat_var,iat_fwd_mean,iat_fwd_max,iat_fwd_min,iat_fwd_var,iat_bwd_mean,iat_bwd_max,iat_bwd_min,iat_bwd_var,dur,l4_proto,service_port,category,label
192.168.1.152,3.122.49.24,52976,1883,6,1554289941.915451,543,257,286,155.7219152854512,1500,52,91978.09025636854,265.3424124513619,1500,52,171506.09287044467,57.21678321678322,80,52,12.67328475720084,0.11006748148436037,0.6634619235992432,9.5367431640625e-07,0.028290098149704464,0.2330334959551692,0.727043867111206,6.318092346191406e-05,0.03622789138075391,0.2047642699459143,1.1029460430145264,9.5367431640625e-07,0.09463786845710544,59.656574964523315,6,1883,N,0
127.0.0.1,127.0.0.1,42100,7878,6,1554289942.517288,180,120,60,135.06666666666666,278,52,10196.995555555553,64.0,76,52,144.0,277.2,278,277,0.16000000000000003,0.3296102451878553,1.0010740756988525,1.0013580322265625e-05,0.22088189258057267,0.49580028477837057,1.0010740756988525,8.487701416015625e-05,0.24985384709257036,1.000002355898841,1.0011827945709229,0.9987518787384033,3.353255461151575e-07,59.0002338886261,6,7878,N,0
192.168.1.190,192.168.1.190,43530,7878,6,1554289942.517487,180,120,60,135.06666666666666,278,52,10196.995555555553,64.0,76,52,144.0,277.2,278,277,0.16000000000000003,0.32961033576027643,1.0011131763458252,5.9604644775390625e-06,0.22091759544577283,0.4958004210175586,1.0011131763458252,4.601478576660156e-05,0.2499075049168141,1.0000032368352858,1.0011608600616455,0.998744010925293,3.4247723846363917e-07,59.00025010108948,6,7878,N,0
192.168.1.152,192.168.1.195,1880,52786,6,1554289942.597342,628,335,293,461.8949044585987,4079,40,555986.4666619335,830.8955223880597,4079,44,750426.2308754734,40.0,40,40,0.0,0.09468103519847329,1.001999855041504,2.86102294921875e-06,0.03719029368142516,0.17773899703682539,1.0022039413452148,9.059906005859375e-06,0.05512994274706562,0.2033043634401609,1.0022518634796143,1.5974044799804688e-05,0.057846861918550714,59.36500906944275,6,1880,N,0
192.168.1.79,224.0.0.7,8001,8001,17,1554289943.750848,29,29,0,226.0,226,226,0.0,226.0,226,226,0.0,0.0,0,0,0.0,2.074063607624599,3.968980073928833,1.9178590774536133,0.1346682458906224,2.074063607624599,3.968980073928833,1.9178590774536133,0.1346682458906224,0.0,0.0,0.0,0.0,58.07378101348877,17,8001,N,0
192.168.1.250,239.255.255.250,65222,1900,17,1554289953.236495,1,1,0,155.0,155,155,0.0,155.0,155,155,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,1900,N,0
192.168.1.250,239.255.255.250,65222,1900,17,1554289983.243336,1,1,0,155.0,155,155,0.0,155.0,155,155,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,1900,N,0
192.168.1.152,3.122.49.24,52976,1883,6,1554290001.927537,542,249,293,155.05719557195573,1500,52,93900.8362120614,270.36546184738955,1500,52,179789.29214044937,57.06484641638225,80,52,8.477023611224359,0.1103046522122875,0.6723639965057373,9.5367431640625e-07,0.030136994335302418,0.24045725791685044,0.7386429309844971,0.0002608299255371094,0.03754344616105828,0.2020793181576141,1.0595929622650146,9.5367431640625e-07,0.09974452036706491,59.674816846847534,6,1883,N,0
192.168.1.152,192.168.1.195,1880,52786,6,1554290002.638289,556,296,260,514.7014388489208,4789,40,811479.7849619585,931.668918918919,4789,44,1152469.1403853176,40.0,40,40,0.0,0.1063804613577353,1.0018558502197266,2.1457672119140625e-06,0.05334770923479148,0.20013888488381595,1.0020899772644043,7.867813110351562e-06,0.08168069055064224,0.2279575018348841,1.002007007598877,2.1457672119140625e-06,0.08668257839921426,59.04115605354309,6,1880,N,0
127.0.0.1,127.0.0.1,42100,7878,6,1554290003.517869,183,122,61,135.0655737704918,278,52,10196.684224670786,64.0,76,52,144.0,277.1967213114754,278,277,0.15802203708680468,0.3296676206064748,1.000802993774414,6.9141387939453125e-06,0.22088783642570578,0.4958636938047803,1.000802993774414,8.916854858398438e-05,0.2498339175091587,0.9999895970026652,1.0009407997131348,0.998790979385376,3.0650383368740433e-07,59.99950695037842,6,7878,N,0
